    99/299     2.96G   0.04935    0.1065   0.02473    0.1806        98       640    0.6807    0.5616    0.7501    0.3063   0.04911    0.3556   0.02419
   100/299     2.96G   0.05358    0.1104    0.0249    0.1889       142       640    0.7957    0.5798     0.778     0.492   0.03856    0.3403   0.02375
   101/299     2.96G   0.04366   0.09951   0.02277    0.1659        67       640    0.7774    0.5876    0.7765    0.4092   0.04409     0.351    0.0231
   102/299     2.96G   0.04561    0.1052   0.02146    0.1723       105       640    0.7701    0.5833    0.7661      0.51   0.03553      0.33   0.02276
   103/299     2.96G    0.0443   0.09961   0.02219    0.1661        73       640    0.7354    0.6027    0.7636    0.4557   0.04181    0.3425   0.02252
   104/299     2.96G   0.04684    0.1078   0.02166    0.1763       150       640    0.7096    0.6451    0.7725    0.5076   0.03755    0.3347   0.02253
   105/299     2.96G   0.04023   0.09895   0.02127    0.1605       129       640    0.8338    0.6287    0.7827    0.4529   0.03878    0.3392   0.02215
   106/299     2.96G    0.0427    0.1024   0.02065    0.1657       131       640    0.8705     0.636    0.7983    0.4868   0.03919    0.3492   0.02172
   107/299     2.96G   0.04703    0.1063   0.02054    0.1738        58       640    0.8725    0.6493    0.7977    0.4793   0.04139      0.36   0.02156
   108/299     2.96G   0.04889    0.1084   0.02085    0.1782       135       640    0.8988    0.6535    0.7909    0.4619   0.03881    0.3427   0.02119
   109/299     2.96G   0.03907   0.09784   0.01888    0.1558        72       640    0.8773     0.646    0.8189    0.4883   0.03886    0.3372   0.02044
   110/299     2.96G   0.04243   0.09911   0.01904    0.1606       104       640     0.853    0.6336     0.817    0.5442   0.03529    0.3261   0.02035
   111/299     2.96G   0.04204    0.1031    0.0197    0.1648       130       640    0.8382    0.6511    0.8068    0.5234   0.03719    0.3289   0.02007
   112/299     2.96G   0.04299   0.09591    0.0187    0.1576        71       640    0.9382    0.6191    0.8132    0.5317   0.03593    0.3298   0.01996
   113/299     2.96G   0.03904   0.09936   0.01996    0.1584       103       640    0.9488     0.626    0.8195     0.532    0.0363    0.3308   0.01969
   114/299     2.96G   0.04047    0.1016   0.01887    0.1609       118       640    0.9479    0.6379     0.837    0.5408   0.03538    0.3253   0.01898
   115/299     2.96G   0.04689    0.1035   0.01837    0.1687        83       640    0.9557    0.6488    0.8422     0.493   0.04078    0.3409   0.01874
   116/299     2.96G   0.04826    0.1069   0.01757    0.1727       119       640    0.9294    0.6537    0.8455    0.5594   0.03513     0.329   0.01869
   117/299     2.96G   0.03746   0.09289   0.01774    0.1481        89       640    0.8966    0.6914    0.8748    0.5479   0.03644    0.3279    0.0183
   118/299     2.96G    0.0403   0.09667   0.01702     0.154        58       640    0.8386    0.7293    0.8857    0.5979   0.03418    0.3226   0.01799
   119/299     2.96G   0.04005   0.09756   0.01681    0.1544        76       640    0.6563    0.8051    0.8873    0.5634   0.03647    0.3311   0.01774
   120/299     2.96G   0.04093    0.1002    0.0172    0.1583       135       640    0.8242    0.7823    0.8987    0.6139   0.03557    0.3232   0.01744
